matchID,allyTeamDmg,enemyTeamDmg,win
EUW1_5387523335,734575,740140,0
EUW1_5386192079,1305143,1091314,1
EUW1_5385708153,937106,840421,1
EUW1_5384029607,658547,554489,1
EUW1_5384014809,496105,313354,1
EUW1_5383949739,273746,387868,0
EUW1_5383826884,998966,1133983,0
EUW1_5380961770,153341,242048,0
EUW1_5380875964,735555,638773,1
EUW1_5378251723,661223,560427,1
EUW1_5378186464,552581,460610,1
EUW1_5378231634,544240,608711,0
EUW1_5376710580,1448839,1300198,0
EUW1_5376604531,542708,672321,0
EUW1_5376449358,727500,786116,0
EUW1_5375247993,1020339,1016704,1
EUW1_5375120609,487636,547910,0
EUW1_5373748510,486928,635446,0
EUW1_5371727977,750783,738854,1
EUW1_5370629489,267510,165512,1
EUW1_5370627839,10499,21604,0
EUW1_5367619509,741776,811348,0
EUW1_5365532613,753750,745646,0
EUW1_5365496260,527911,312316,1
EUW1_5365184265,1080993,986036,1
EUW1_5364464625,14388,22200,0
EUW1_5363968644,428742,547385,0
EUW1_5363964376,475987,324110,1
EUW1_5363852363,721874,552436,1
EUW1_5362548281,727468,589296,1
EUW1_5362472805,315569,488368,0
EUW1_5362405976,400525,168755,1
EUW1_5361171982,509668,580466,0
EUW1_5355618005,433365,457050,0
EUW1_5349654298,650291,711689,0
EUW1_5349568840,764880,850105,0
EUW1_5349613971,676231,710451,1
EUW1_5347156912,808964,784542,0
EUW1_5346710453,736629,607085,1
EUW1_5346745044,611462,601197,0
EUW1_5327569516,691729,463953,1
EUW1_5327613373,415879,528595,0
EUW1_5327479392,589104,645682,0
EUW1_5327494910,416683,376757,0
EUW1_5327427347,501986,552869,0
EUW1_5327382449,850052,717083,1
EUW1_5325775429,758472,627009,1
EUW1_5325711026,596720,669867,0
EUW1_5325674811,645167,487320,1
EUW1_5324599007,207304,138382,1
EUW1_5324242852,852306,776360,1
EUW1_5324149235,313301,458021,0
EUW1_5324165400,645902,522176,1
EUW1_5324172612,280942,444154,0
EUW1_5323007610,496549,351433,1
EUW1_5322934499,319734,325198,0
EUW1_5322783211,850115,856583,1
EUW1_5322687571,672986,570975,1
EUW1_5322651730,860301,671122,1
EUW1_5316850873,1206484,919402,1
EUW1_5316757438,299010,251570,1
EUW1_5316733843,11346,19774,0
EUW1_5307368963,460924,302046,1
EUW1_5307333531,449890,586675,0
EUW1_5303685863,937528,1034346,1
EUW1_5302516705,750301,747488,0
EUW1_5302419416,741176,844265,0
EUW1_5300659761,668347,513398,1
EUW1_5300519229,319163,462204,0
EUW1_5299341285,664500,663687,0
EUW1_5299277163,355120,461373,0
EUW1_5296714852,923298,744433,1
EUW1_5295584923,526469,597227,0
EUW1_5294878483,620999,449580,1
EUW1_5291903429,1336467,1431136,0
EUW1_5289693306,693816,511829,1
EUW1_5289587645,705486,611159,1
EUW1_5287513718,118647,94116,1
EUW1_5287399032,510877,623687,0
EUW1_5286488338,742258,822951,0
EUW1_5286471700,471346,522892,0
EUW1_5285887883,615438,745489,0
EUW1_5285852439,627762,432606,1
EUW1_5285558661,875897,926878,0
EUW1_5284475253,397050,451726,0
EUW1_5284380365,241995,316621,0
EUW1_5284075459,632315,699868,1
EUW1_5284050018,309725,344127,0
EUW1_5282289913,387469,263737,1
EUW1_5282244294,650550,569402,1
EUW1_5282168656,724658,514014,1
EUW1_5281084186,886341,1017839,1
EUW1_5280909362,363296,231372,1
EUW1_5279510706,612487,591879,1
EUW1_5277283500,482734,315230,1
EUW1_5277159606,352490,488229,0
EUW1_5277114821,409886,560857,0
EUW1_5272405663,480945,572241,0
EUW1_5272309193,458297,333281,1
EUW1_5272229217,1070751,775086,1
EUW1_5268229528,668920,529257,1
EUW1_5268174143,505794,550006,0
EUW1_5262410549,780787,691399,1
EUW1_5258675088,824715,770386,1
EUW1_5257072496,510770,401491,1
EUW1_5256990016,575957,397211,1
EUW1_5256773412,722750,718247,1
EUW1_5256769574,598394,798029,0
EUW1_5255575126,555860,595336,0
EUW1_5254836477,254778,353219,0
EUW1_5254811628,262511,435438,0
EUW1_5254518096,184912,266187,0
EUW1_5253527189,440737,494781,0
EUW1_5253448032,736525,732947,1
EUW1_5253197121,341067,573372,0
EUW1_5253151909,677118,644877,1
EUW1_5251321414,755137,806868,1
EUW1_5251046898,818126,641649,1
EUW1_5249827810,570500,658387,0
EUW1_5248113290,529350,417327,1
EUW1_5247962194,681883,719018,0
EUW1_5247029724,469105,355223,1
EUW1_5247006173,359729,293664,1
EUW1_5245411901,1046863,1096284,1
EUW1_5245216421,700756,680081,1
EUW1_5244051232,549212,577880,0
EUW1_5243944184,426609,410996,0
EUW1_5243048012,510554,691144,0
EUW1_5243034482,255995,202857,1
EUW1_5242878652,496609,489850,1
EUW1_5242810031,802350,793288,0
EUW1_5241512465,616801,502200,1
EUW1_5239677893,723735,608990,1
EUW1_5239313920,804253,879901,0
EUW1_5237485363,675722,626227,0
EUW1_5237329442,894928,759749,1
EUW1_5237253587,401851,322818,1
EUW1_5237166138,690485,740532,0
EUW1_5234053000,658318,531981,1
EUW1_5232020747,454217,294902,1
EUW1_5231119780,561521,685502,0
EUW1_5231085859,389171,304508,1
EUW1_5230369605,962492,947435,1
EUW1_5230269856,903025,908384,0
EUW1_5230222277,745208,806609,0
EUW1_5228382556,643310,637518,1
EUW1_5227675534,675660,574016,1
EUW1_5227529676,627618,511794,1
EUW1_5226166304,840847,850269,1
EUW1_5224236195,460305,396499,1
EUW1_5220930519,695935,757512,0
EUW1_5219050979,401880,388660,1
EUW1_5218683408,619760,616230,0
EUW1_5218585457,663813,840382,0
EUW1_5218503603,368556,514070,0
EUW1_5218479000,595897,679883,0
EUW1_5218461788,24404,11435,1
EUW1_5218366518,543971,329622,1
EUW1_5217231811,322961,422593,0
EUW1_5217228660,392231,555403,0
EUW1_5217144110,625528,430023,1
EUW1_5216815824,908040,776280,1
EUW1_5215232739,426200,566880,0
EUW1_5215107745,393188,237008,1
EUW1_5209307518,974276,805722,1
EUW1_5207626578,411744,554352,0
EUW1_5206000632,316056,485701,0
EUW1_5205966145,589639,542371,1
EUW1_5205902827,740538,857622,0
EUW1_5205768286,588801,465253,1
EUW1_5205746577,364212,443876,0
EUW1_5205651726,275593,468858,0
EUW1_5199757693,749898,689577,1
EUW1_5199679266,592640,507993,0
EUW1_5199559600,218549,414648,0
EUW1_5195607296,574274,368061,1
EUW1_5195548661,469731,530642,0
EUW1_5195370452,660006,646507,1
EUW1_5194839011,740755,612725,1
EUW1_5192005917,577604,421823,1
EUW1_5191966408,540504,478753,0
EUW1_5190905551,729443,653780,1
EUW1_5190831472,271759,407349,0
EUW1_5188955491,258979,167596,1
EUW1_5188897283,299149,410042,0
EUW1_5187753179,818533,544838,1
EUW1_5187643927,662181,556663,1
EUW1_5187203802,903466,828908,0
EUW1_5187075396,1098785,1002862,0
EUW1_5186717687,822648,770986,0
EUW1_5183591624,731459,721483,0
EUW1_5183483667,689286,641023,1
EUW1_5183357234,397555,449642,0
EUW1_5124208660,296726,339734,0
EUW1_5123410209,728788,649031,1
EUW1_5121516738,350530,362573,0
EUW1_5121462227,280646,338935,0
EUW1_5121395698,371948,454405,0
EUW1_5121320005,539046,460751,1
EUW1_5118089723,754376,857772,0
EUW1_5107886172,611989,622947,0
EUW1_5107776530,898020,835895,0
EUW1_5021168962,480776,600224,0
EUW1_5021121216,690068,454692,1
EUW1_5021054918,340166,498668,0
EUW1_5021040533,273005,173016,1
EUW1_5020763937,607735,625576,0
EUW1_5020378437,1080788,854113,0
EUW1_5002968509,351729,410301,0
EUW1_5001374952,781410,780499,1
EUW1_5001229686,793832,841238,0
EUW1_5000983845,677777,559747,1
EUW1_4998836517,445750,465905,1
EUW1_4998755623,318401,381854,0
EUW1_4997779125,925691,969706,1
EUW1_4996374896,512140,382427,1
EUW1_4996318134,440785,316040,1
EUW1_4996285215,507162,340067,1
EUW1_4996271636,865257,733394,1
EUW1_4996245497,573634,400470,1
EUW1_4994494733,602376,516935,0
EUW1_4992756245,740321,894802,1
EUW1_4989934255,600260,651865,0
EUW1_4987766904,530064,396320,1
EUW1_4987720212,562553,628921,0
EUW1_4987686425,368276,254339,1
EUW1_4987650618,911963,892311,1
EUW1_4987565397,568477,403752,1
EUW1_4987531808,556930,733782,0
EUW1_4985933110,174014,238340,0
EUW1_4985837033,545419,778717,0
